"acce.roundNo","turtle.ID","sex","cl","time","date","hour","month","year","julian","x","y","z","ODBA","airTemp","waterTemp","rainfall","roll_sum_24h","heavyRain","acce.netWeight"
1,331,"M",192,"2020-10-14 08:45:00",2020-10-14,8,10,"2020",288,-0.102137383558282,0.03749511122558,0.014337835016546,0.266185588500042,20.5,21,0,31.5,"yes",41
1,607,"F",141.3,"2020-10-14 08:45:00",2020-10-14,8,10,"2020",288,0.000410120478479853,0.0109034438868423,-0.00224305317078757,0.0175991570278679,20.5,21,0,31.5,"yes",30
1,331,"M",192,"2020-10-14 09:00:00",2020-10-14,9,10,"2020",288,-0.02001976159691,-0.201082432649816,0.217189993166556,0.563329210936633,20.5625,21,0,31,"yes",41
1,607,"F",141.3,"2020-10-14 09:00:00",2020-10-14,9,10,"2020",288,-0.0007575378180847,0,-0.00187644386863139,0.00759152414425852,20.5625,21,0,31,"yes",30
1,331,"M",192,"2020-10-14 09:15:00",2020-10-14,9,10,"2020",288,-0.00501912367146742,0.00385599101419414,-0.00206080811549558,0.0124007665511571,20.5625,21,0,31,"yes",41
1,607,"F",141.3,"2020-10-14 09:15:00",2020-10-14,9,10,"2020",288,0,0,0,0,20.5625,21,0,31,"yes",30
1,331,"M",192,"2020-10-14 09:30:00",2020-10-14,9,10,"2020",288,-0.00611988651539433,-0.000531320892649026,0,0.00736413380456348,20.625,21,0,31,"yes",41
1,607,"F",141.3,"2020-10-14 09:30:00",2020-10-14,9,10,"2020",288,0,0.00102727946966225,0.000538635084533501,0.00552641802641796,20.625,21,0,31,"yes",30
1,331,"M",192,"2020-10-14 09:45:00",2020-10-14,9,10,"2020",288,0.00225521277767371,-0.00329117497086247,-0.000490351662226635,0.0159374615185162,20.5625,21,0,31,"yes",41
1,607,"F",141.3,"2020-10-14 09:45:00",2020-10-14,9,10,"2020",288,0,0,0.000594899349782185,0.00267721915671132,20.5625,21,0,31,"yes",30
1,331,"M",192,"2020-10-14 10:00:00",2020-10-14,10,10,"2020",288,-0.00332595464431404,0,0,0.00615798589431402,20.5625,21,0,30,"no",41
1,607,"F",141.3,"2020-10-14 10:00:00",2020-10-14,10,10,"2020",288,0,-0.000776599702380948,0.000564769973949664,0.00765343326378479,20.5625,21,0,30,"no",30
1,331,"M",192,"2020-10-14 10:15:00",2020-10-14,10,10,"2020",288,-0.00361633266906702,-0.00302478825428043,0.00144277922598235,0.0107664064451174,20.625,21,0,30,"no",41
