"ID","acce.roundNo","turtle.ID","sex","cl","time","date","hour","month","year","julian","x","y","z","ODBA","airTemp","waterTemp","rainfall","roll_sum_24h","heavyRain","acce.netWeight","ID_old","ODBA.scaled","state"
"531-1-3","1","531","F",134,"2020-10-26 06:00:00",2020-10-26,6,10,2020,300,-0.000490787966373911,0,0,0.00677917731140388,-1.1672786284991,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-4.85630469041862,1
"531-1-3","1","531","F",134,"2020-10-26 06:15:00",2020-10-26,6,10,2020,300,-0.0193132876238345,0.0059553348127567,0,0.0264354243846431,-1.1672786284991,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-3.59592023985954,1
"531-1-3","1","531","F",134,"2020-10-26 06:30:00",2020-10-26,6,10,2020,300,0,0,0,0,-1.1672786284991,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-6.90775527898214,1
"531-1-3","1","531","F",134,"2020-10-26 06:45:00",2020-10-26,6,10,2020,300,0,0,0,0,-1.1672786284991,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-6.90775527898214,1
"531-1-3","1","531","F",134,"2020-10-26 07:00:00",2020-10-26,7,10,2020,300,0,0,0,0,-1.14035967060447,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-6.90775527898214,1
"531-1-3","1","531","F",134,"2020-10-26 07:15:00",2020-10-26,7,10,2020,300,-0.00128885871073375,0,-6.52857342310353e-05,0.0101978723316614,-1.14035967060447,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-4.49203148911512,1
"531-1-3","1","531","F",134,"2020-10-26 07:30:00",2020-10-26,7,10,2020,300,0,0.00123509032200436,9.91819595335119e-05,0.00524740016927519,-1.11344071270983,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-5.07558987469053,1
"531-1-3","1","531","F",134,"2020-10-26 07:45:00",2020-10-26,7,10,2020,300,0,0,0.000433664642649018,0.00132414785735099,-0.978845923236662,-1.02418921627395,-0.127969621543519,-0.366521858712525,"no",-1.45972042160124,"531-1",-6.06440182009243,1
"609-5-1","5","609","F",134.5,"2022-09-17 16:00:00",2022-09-17,16,9,2022,260,0.00208333333333333,-0.0046875,0,0.0151041666666667,2.19759110833014,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.1286772413026,1
"609-5-1","5","609","F",134.5,"2022-09-17 16:15:00",2022-09-17,16,9,2022,260,0,-0.000538635084533521,0,0.00200347883453352,2.0899152767516,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.80798405063296,1
"609-5-1","5","609","F",134.5,"2022-09-17 16:30:00",2022-09-17,16,9,2022,260,0,0.0012251962447275,-0.00073440827835361,0.00906192060977214,2.0899152767516,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.59899721704828,1
"609-5-1","5","609","F",134.5,"2022-09-17 16:45:00",2022-09-17,16,9,2022,260,0.000325157698204556,0.00135243716786685,0,0.00458630724744007,1.98223944517307,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.18743680984966,1
"609-5-1","5","609","F",134.5,"2022-09-17 17:00:00",2022-09-17,17,9,2022,260,0,-0.00218995143311549,0.000945256999944522,0.00644891404168747,1.98223944517307,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.89968702343204,1
"609-5-1","5","609","F",134.5,"2022-09-17 17:15:00",2022-09-17,17,9,2022,260,0,-0.00438731190684316,0,0.00438731190684316,1.98223944517307,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.22370873704468,1
"609-5-1","5","609","F",134.5,"2022-09-17 17:30:00",2022-09-17,17,9,2022,260,0,0,0,0,1.87456361359453,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
"609-5-1","5","609","F",134.5,"2022-09-17 17:45:00",2022-09-17,17,9,2022,260,0,0,-0.000296250515977065,0.00654666243045146,1.87456361359453,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.88664987565136,1
"609-5-1","5","609","F",134.5,"2022-09-17 18:00:00",2022-09-17,18,9,2022,260,0,0,0,0,1.766887782016,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
