Date,hour,Rainfall (mm)
20220412,6,0.0*
20220412,7,0
20220412,8,0
20220412,9,0
20220412,10,0.0*
20220412,11,0.0*
20220412,12,0.0*
20220412,13,0.0*
20220412,14,0.0*
20220412,15,0
20220412,16,0
20220412,17,0
20220412,18,0
20220412,19,0.0*
20220412,20,0
20220412,21,0.0*
20220412,22,0.0*
20220412,23,0.0*
20220412,24,0.0*
20220413,1,0.0*
20220413,2,0
20220413,3,0.0*
20220413,4,0.0*
20220413,5,0.0*
20220413,6,0.0*
20220413,7,0
20220413,8,0
20220413,9,0
20220413,10,0
20220413,11,0
20220413,12,0.0*
20220413,13,0.0*
20220413,14,0.0*
20220413,15,0.0*
20220413,16,0.0*
20220413,17,0.0*
20220413,18,0.0*
20220413,19,0
20220413,20,0
20220413,21,0
20220413,22,0.0*
20220413,23,0.0*
20220413,24,0.0*
20220414,1,0.0*
20220414,2,0.0*
20220414,3,0.0*
20220414,4,0
20220414,5,0
20220414,6,0.0*
20220414,7,0
20220414,8,0
20220414,9,0
20220414,10,0
20220414,11,0
20220414,12,0
20220414,13,0
20220414,14,0
20220414,15,0
20220414,16,0
20220414,17,0
20220414,18,0
20220414,19,0
20220414,20,0
20220414,21,0
20220414,22,0
20220414,23,0
20220414,24,0
20220415,1,0
20220415,2,0
20220415,3,0
20220415,4,0
20220415,5,0
20220415,6,0
20220415,7,0
20220415,8,0
20220415,9,0
20220415,10,0
20220415,11,0
20220415,12,0
20220415,13,0
20220415,14,0
20220415,15,0
20220415,16,0
20220415,17,0
20220415,18,0
20220415,19,0
20220415,20,0
20220415,21,0
20220415,22,0
20220415,23,0
20220415,24,0
20220416,1,0
20220416,2,0
20220416,3,0
20220416,4,0
20220416,5,0
20220416,6,0
20220416,7,0
20220416,8,0
20220416,9,0
20220416,10,0
20220416,11,0
20220416,12,0
20220416,13,0
20220416,14,0
20220416,15,0
20220416,16,0
20220416,17,0
20220416,18,0
20220416,19,0
20220416,20,0
20220416,21,0
20220416,22,0
20220416,23,0
20220416,24,0
20220417,1,0
20220417,2,0
20220417,3,0
20220417,4,0
20220417,5,0
20220417,6,0
20220417,7,0
20220417,8,0
20220417,9,0
20220417,10,0
20220417,11,0
20220417,12,0
20220417,13,0
20220417,14,0
20220417,15,0
20220417,16,0
20220417,17,0
20220417,18,0
20220417,19,0
20220417,20,0
20220417,21,0
20220417,22,0
20220417,23,0
20220417,24,0
20220418,1,0
20220418,2,0
20220418,3,0
20220418,4,0
20220418,5,0
20220418,6,0
